,Player_Name,Rank,Kills,Deaths,Assists,Kill death difference,Kill death ratio,Average damage per round,Percentage of kills with a headshot,First kills of a round,First deaths of a round,First kills as a T,First deaths as a T,First kills as a CT,First deaths as a CT,Trade kills,Death was traded,Traded first kills,First deaths traded,Traded first kills as T,First deaths traded as T,Traded first kills as CT,First deaths traded as CT,1v5,1v4,1v3,1v2,1v1,5k,4k,3k,2k,1k,"Percentage of rounds with a Kill, Assist, Survived or Death Traded",HLTV Rating 1.0,Top Starting Side,Round Winner,Match_id,map,date,VAC,Starting_Side,CT_round_diff,T_round_diff,Match_Result
33,Cho,,13,23,7,-10,0.6,56,46%,1,4,0,2,1,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,62%,0.62,T,"['CT', 'CT', 'CT', 'T', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'CT']",6314830,de_dust2,30th Jan 2020 20:05:24,False,T,0.0,-3.0,Loss
49,Cho,,16,24,7,-8,0.7,67,44%,2,1,2,1,0,0,3,6,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,10,70%,0.73,T,"['T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT']",25022465,de_dust2,4th Jan 2021 09:52:54,False,CT,1.0,1.0,Win
56,KoHo,,22,11,6,11,2.0,93,9%,5,1,1,1,4,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,6,4,83%,1.5,T,"['T', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'CT', 'CT']",7631955,de_dust2,24th Mar 2020 13:59:31,False,CT,5.0,3.0,Win
57,Cho,,14,9,5,5,1.6,65,36%,2,2,1,1,1,1,5,3,0,2,0,1,0,1,0,0,0,0,0,0,0,1,2,7,88%,1.12,T,"['T', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'CT', 'CT']",7631955,de_dust2,24th Mar 2020 13:59:31,False,CT,5.0,3.0,Win
58,Blhoux,,15,13,4,2,1.2,67,33%,2,1,0,0,2,1,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,8,83%,1.02,T,"['T', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'CT', 'CT']",7631955,de_dust2,24th Mar 2020 13:59:31,False,CT,5.0,3.0,Win
60,mini,,24,17,2,7,1.4,81,38%,0,1,0,1,0,0,5,6,1,0,0,0,1,0,0,0,0,0,0,0,0,2,4,10,85%,1.26,T,"['CT', 'CT', 'T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'T', 'T', 'T', 'T']",18618615,de_dust2,30th Oct 2020 21:02:00,False,T,6.0,-1.0,Win
61,Blhoux,,23,17,4,6,1.4,91,48%,3,2,1,2,2,0,5,2,2,1,1,1,1,0,0,0,0,0,0,0,0,3,2,10,78%,1.25,T,"['CT', 'CT', 'T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'T', 'T', 'T', 'T']",18618615,de_dust2,30th Oct 2020 21:02:00,False,T,6.0,-1.0,Win
62,KoHo,,21,18,8,3,1.2,108,14%,4,5,4,2,0,3,2,4,0,1,0,0,0,1,0,0,0,1,0,0,0,2,3,9,78%,1.12,T,"['CT', 'CT', 'T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'T', 'T', 'T', 'T']",18618615,de_dust2,30th Oct 2020 21:02:00,False,T,6.0,-1.0,Win
63,Cho,,17,20,6,-3,0.9,62,35%,3,5,0,3,3,2,2,5,1,2,1,1,0,1,0,0,0,0,0,0,1,1,2,6,78%,0.97,T,"['CT', 'CT', 'T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'T', 'T', 'T', 'T']",18618615,de_dust2,30th Oct 2020 21:02:00,False,T,6.0,-1.0,Win
64,WhiteFlag1940,,11,19,5,-8,0.6,56,27%,2,2,0,2,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,63%,0.58,T,"['CT', 'CT', 'T', 'T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'T', 'T', 'T', 'T']",18618615,de_dust2,30th Oct 2020 21:02:00,False,T,6.0,-1.0,Win
78,Cho,,16,13,8,3,1.2,86,31%,0,2,0,1,0,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,6,76%,1.04,T,"['T', 'T', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'T', 'T', 'CT']",23907200,de_inferno,9th Jan 2021 22:39:29,False,CT,7.0,0.0,Win
85,mini,,22,17,2,5,1.3,86,27%,1,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,9,71%,1.29,T,"['T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'T']",16680855,de_inferno,25th Sep 2020 20:11:21,False,CT,-7.0,-1.0,Loss
86,Blhoux,,19,19,7,0,1.0,95,21%,4,5,1,1,3,4,7,1,3,0,2,0,1,0,0,0,0,0,0,0,0,1,5,6,71%,1.03,T,"['T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'T']",16680855,de_inferno,25th Sep 2020 20:11:21,False,CT,-7.0,-1.0,Loss
87,Cho,,17,21,6,-4,0.8,79,29%,3,1,1,0,2,1,2,5,0,1,0,0,0,1,0,0,0,0,0,0,0,2,3,5,75%,0.91,T,"['T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'T']",16680855,de_inferno,25th Sep 2020 20:11:21,False,CT,-7.0,-1.0,Loss
88,KoHo,,15,19,7,-4,0.8,85,20%,3,4,3,1,0,3,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4,7,63%,0.79,T,"['T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'T']",16680855,de_inferno,25th Sep 2020 20:11:21,False,CT,-7.0,-1.0,Loss
89,WhiteFlag1940,,5,20,1,-15,0.3,29,40%,0,3,0,2,0,1,1,2,0,2,0,1,0,1,0,0,1,0,0,0,0,1,0,2,33%,0.38,T,"['T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'T']",16680855,de_inferno,25th Sep 2020 20:11:21,False,CT,-7.0,-1.0,Loss
90,Blhoux,,22,20,6,2,1.1,104,41%,3,4,1,2,2,2,6,2,2,0,1,0,1,0,0,0,0,0,1,0,0,3,4,5,68%,1.2,T,"['CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'CT']",17464561,de_inferno,11th Oct 2020 19:24:31,False,T,-4.0,-3.0,Loss
91,KoHo,,18,18,3,0,1.0,69,22%,2,5,0,4,2,1,2,4,2,1,2,1,0,0,0,0,0,0,0,0,1,1,3,5,68%,1.11,T,"['CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'CT']",17464561,de_inferno,11th Oct 2020 19:24:31,False,T,-4.0,-3.0,Loss
93,Cho,,10,18,4,-8,0.6,58,40%,2,3,1,3,1,0,2,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,8,64%,0.59,T,"['CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'CT']",17464561,de_inferno,11th Oct 2020 19:24:31,False,T,-4.0,-3.0,Loss
94,WhiteFlag1940,,6,19,2,-13,0.3,40,50%,0,3,0,1,0,2,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,6,48%,0.4,T,"['CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'CT']",17464561,de_inferno,11th Oct 2020 19:24:31,False,T,-4.0,-3.0,Loss
105,Blhoux,,21,16,11,5,1.3,102,24%,3,6,2,3,1,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,5,73%,1.32,T,"['T', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'T']",24079054,de_inferno,14th Jan 2021 21:20:32,False,CT,-5.0,-1.0,Loss
106,Cho,,21,17,3,4,1.2,93,38%,2,3,0,1,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,11,65%,1.07,T,"['T', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'T']",24079054,de_inferno,14th Jan 2021 21:20:32,False,CT,-5.0,-1.0,Loss
107,mini,,18,17,4,1,1.1,80,33%,2,2,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,62%,1.02,T,"['T', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'T']",24079054,de_inferno,14th Jan 2021 21:20:32,False,CT,-5.0,-1.0,Loss
108,Kiwi,,12,18,4,-6,0.7,48,33%,2,2,1,1,1,1,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,8,62%,0.68,T,"['T', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'T']",24079054,de_inferno,14th Jan 2021 21:20:32,False,CT,-5.0,-1.0,Loss
109,WhiteFlag1940,,9,19,1,-10,0.5,42,22%,0,4,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,42%,0.55,T,"['T', 'T', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'T']",24079054,de_inferno,14th Jan 2021 21:20:32,False,CT,-5.0,-1.0,Loss
114,Blhoux,,8,23,2,-15,0.3,47,38%,2,5,1,3,1,2,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6,50%,0.34,T,"['CT', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'T', 'CT', 'CT']",7255228,de_inferno,12th Mar 2020 10:56:58,False,T,-3.0,-5.0,Loss
120,Blhoux,,27,17,6,10,1.6,96,15%,4,2,3,2,1,0,6,1,1,0,0,0,1,0,0,0,0,0,0,0,1,2,4,9,69%,1.44,T,"['T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'CT', 'T', 'T']",7830168,de_inferno,28th Mar 2020 14:07:21,False,T,6.0,-3.0,Win
121,KoHo,,26,13,2,13,2.0,93,27%,6,1,3,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,9,76%,1.4,T,"['T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'CT', 'T', 'T']",7830168,de_inferno,28th Mar 2020 14:07:21,False,T,6.0,-3.0,Win
123,Cho,,16,18,4,-2,0.9,58,13%,2,0,0,0,2,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,72%,0.83,T,"['T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'CT', 'T', 'T']",7830168,de_inferno,28th Mar 2020 14:07:21,False,T,6.0,-3.0,Win
135,KoHo,,31,13,7,18,2.4,115,29%,11,0,6,0,5,0,1,3,1,0,1,0,0,0,0,0,0,0,1,0,0,2,7,11,93%,1.66,T,"['T', 'T', 'CT', 'CT', 'T', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'T', 'CT', 'T', 'T', 'CT', 'CT']",20402316,de_inferno,23rd Nov 2020 21:18:51,False,CT,3.0,2.0,Win
136,Lucas,,22,21,6,1,1.0,82,36%,4,6,1,4,3,2,3,2,0,2,0,1,0,1,0,0,0,0,0,0,0,1,8,3,63%,1.1,T,"['T', 'T', 'CT', 'CT', 'T', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'T', 'CT', 'T', 'T', 'CT', 'CT']",20402316,de_inferno,23rd Nov 2020 21:18:51,False,CT,3.0,2.0,Win
137,Blhoux,,21,18,5,3,1.2,91,24%,0,0,0,0,0,0,6,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5,8,74%,1.09,T,"['T', 'T', 'CT', 'CT', 'T', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'T', 'CT', 'T', 'T', 'CT', 'CT']",20402316,de_inferno,23rd Nov 2020 21:18:51,False,CT,3.0,2.0,Win
139,Cho,,11,16,14,-5,0.7,68,36%,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,70%,0.7,T,"['T', 'T', 'CT', 'CT', 'T', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'T', 'CT', 'T', 'T', 'CT', 'CT']",20402316,de_inferno,23rd Nov 2020 21:18:51,False,CT,3.0,2.0,Win
140,mini,,24,18,2,6,1.3,85,46%,3,3,2,1,1,2,6,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,9,65%,1.31,T,"['CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT']",8379159,de_mirage,12th Apr 2020 19:33:27,False,T,-5.0,-1.0,Loss
141,Blhoux,,22,25,5,-3,0.9,81,36%,3,1,2,1,1,0,6,4,2,1,2,1,0,0,0,0,0,0,0,0,0,1,6,7,73%,0.94,T,"['CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT']",8379159,de_mirage,12th Apr 2020 19:33:27,False,T,-5.0,-1.0,Loss
142,Cho,,17,20,1,-3,0.9,64,29%,2,1,2,1,0,0,3,6,1,1,0,1,1,0,0,0,0,0,0,0,0,2,1,9,65%,0.89,T,"['CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT']",8379159,de_mirage,12th Apr 2020 19:33:27,False,T,-5.0,-1.0,Loss
144,Lucas,,10,21,4,-11,0.5,62,20%,2,6,2,3,0,3,2,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,6,58%,0.52,T,"['CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT']",8379159,de_mirage,12th Apr 2020 19:33:27,False,T,-5.0,-1.0,Loss
150,Blhoux,,29,19,6,10,1.5,98,21%,5,1,2,0,3,1,4,4,1,0,1,0,0,0,0,0,0,2,0,1,0,2,5,8,79%,1.56,T,"['CT', 'T', 'T', 'T', 'T', 'CT', 'T', 'T', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T']",18891637,de_dust2,1st Nov 2020 20:46:08,True,T,-3.0,7.0,Win
151,KoHo,,26,15,11,11,1.7,114,8%,5,0,3,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,11,79%,1.34,T,"['CT', 'T', 'T', 'T', 'T', 'CT', 'T', 'T', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T']",18891637,de_dust2,1st Nov 2020 20:46:08,True,T,-3.0,7.0,Win
152,mini,,21,20,9,1,1.1,84,62%,3,1,2,1,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,75%,0.96,T,"['CT', 'T', 'T', 'T', 'T', 'CT', 'T', 'T', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T']",18891637,de_dust2,1st Nov 2020 20:46:08,True,T,-3.0,7.0,Win
153,Kiwi,,15,21,3,-6,0.7,58,40%,2,2,0,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,4,46%,0.8,T,"['CT', 'T', 'T', 'T', 'T', 'CT', 'T', 'T', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T']",18891637,de_dust2,1st Nov 2020 20:46:08,True,T,-3.0,7.0,Win
154,Cho,,7,21,7,-14,0.3,44,29%,2,7,2,4,0,3,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5,57%,0.43,T,"['CT', 'T', 'T', 'T', 'T', 'CT', 'T', 'T', 'CT', 'T', 'T', 'CT', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T']",18891637,de_dust2,1st Nov 2020 20:46:08,True,T,-3.0,7.0,Win
160,mini,,35,22,4,13,1.6,108,31%,7,2,5,1,2,1,6,2,0,1,0,1,0,0,0,0,1,0,2,0,1,4,4,11,83%,1.62,T,"['T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T']",22851406,de_overpass,13th Dec 2020 20:57:06,False,T,-3.0,5.0,Win
161,KoHo,,30,24,0,6,1.3,92,33%,4,1,1,0,3,1,7,5,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,8,67%,1.27,T,"['T', 'T', 'T', 'T', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T', 'T', 'CT', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'T']",22851406,de_overpass,13th Dec 2020 20:57:06,False,T,-3.0,5.0,Win
